Project Name,State ,MW Capacity,Fuel Source,Committed Date (Month/Year)
East Rockingham Resource Recovery Facility,WA,29.00,Biomass,Dec-2019
Mangalore Renewable Energy Project,VIC,5.00,Solar,Sep-2021
Orange Community Renewable Energy Park,NSW,5.00,Solar,Jul-2022
Moorebank Logistics Park,NSW,60.00,Solar,Sep-2022
Wangaratta Solar Farm,VIC,40.00,Solar,Jul-2023
Kidston Pumped Hydro Storage Project,QLD,250.00,Hydro,Jul-2023
New England Solar Farm - Stage 2,NSW,320.00,Solar,Jul-2023
Bellevue Gold Hybrid Power Station (Wind),WA,24.00,Wind,Sep-2023
Glenellen solar project,NSW,200.00,Solar,Nov-2023
Forest Glen Solar Farm,NSW,90.00,Solar,Dec-2023
Uungula Wind Farm,NSW,414.00,Wind,Jan-2024
Munna Creek Solar Farm,QLD,150.00,Solar,Jan-2024
St Ives Gold Solar Farm,WA,77.00,Wind,Mar-2024
Gunsynd Solar Farm,QLD,94.00,Solar,Mar-2024
Aldoga Solar Farm,QLD,380.00,Solar,Apr-2024
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,May-2024
Quorn Park Solar Hybrid,NSW,98.00,Solar,Jun-2024
Golden Plains Wind Farm - Stage 2,VIC,574.00,Wind,Jun-2024
Lotus Creek Wind Farm,QLD,285.00,Wind,Aug-2024
Goorambat Solar Farm,VIC,250.00,Solar,Aug-2024
Hay Solar Farm,NSW,7.50,Solar,Sep-2024
Broadsound Solar Farm,QLD,376.00,Solar,Sep-2024
Boulder Creek Wind Farm,QLD,228.00,Wind,Sep-2024
Horsham Solar Farm,VIC,118.80,Solar,Nov-2024
Carwarp Energy Park,VIC,171.00,Solar,Dec-2024
Goulburn River Solar Farm,NSW,450.00,Solar,Dec-2024
Wambo Wind Farm Stage 2,QLD,254.00,Wind,Dec-2024
Warradarge Wind Farm Stage 2,WA,108.00,Wind,Dec-2024
Bungama Solar Farm (stage 3),SA,280.00,Solar,Feb-2025
Fulham Solar Farm,VIC,80.00,Solar,Apr-2025
Cloudbreak Solar Farm,WA,190.00,Solar,Apr-2025
Port Latta Wind Farm,TAS,25.00,Wind,Apr-2025
Wandoan South Solar Farm (Stage 2),QLD,240.00,Solar,Apr-2025
Lancaster Solar Farm,VIC,106.00,Solar,Jun-2025
Mulwala Solar Farm,NSW,31.00,Solar,Jun-2025