Project Name,State ,MW Capacity,Fuel Source
Barnawartha Solar Farm,VIC,64.000,Solar
Barwon solar farm,VIC,250.000,Solar
Boddington Giga Energy,WA,400.000,Solar
Bulli Creek Solar project Stage 1,QLD,775.000,Solar
Bullyard Solar Farm,QLD,100.000,Solar
Bungaban Wind Farm,QLD,1400.000,Wind
Campbells Forest Solar Farm,VIC,205.000,Solar
Coppabella Wind Farm,NSW,284.000,Wind
Derby Solar Farm & Battery,VIC,95.000,Solar
Elaine Solar Farm,VIC,125.000,Solar
Eurimbula Solar Farm,QLD,696.000,Solar
Frasers Solar Farm,VIC,77.000,Solar
Ganymirra Solar Power Station,QLD,150.000,Solar
Glanmire Solar Farm,NSW,60.000,Solar
Goyder North Wind Farm Stage 1,SA,300.000,Wind
Hopeland Solar Farm,QLD,250.000,Solar
Junction Rivers Wind Farm,NSW,585.000,Wind
Kentbruck Green Power Hub,VIC,600.000,Wind
Kiamal Solar Farm - Stage 2,VIC,150.000,Solar
Kidston Stage 3 Wind Project,QLD,258.000,Wind
Lake Wells high renewable energy fraction microgrid -Solar,WA,4.500,Solar
Lake Wells high renewable energy fraction microgrid -Wind,WA,9.000,Wind
Lakeland Wind Farm,QLD,100.000,Wind
Majors Creek Solar Farm,QLD,150.000,Solar
Manilla Community Solar,NSW,4.500,Solar
Mount Hopeful Wind Farm,QLD,350.000,Wind
Northern Midlands Solar Farm,TAS,288.000,Solar
Palmer Wind Farm,SA,288.000,Wind
Planet Ark Power - Schneider Electricity PV and Battery Project,SA,5.700,Solar
Port Augusta Energy Park Stage 2,SA,300.000,Solar
Sandy Creek Solar Farm,NSW,700.000,Solar
Sapphire Solar Farm,NSW,200.000,Solar
Silverleaf Solar Farm,NSW,120.000,Solar
Smoky Creek and Guthrie's Gap Solar Farm,QLD,600.000,Solar
Spicers Creek Wind Farm,NSW,700.000,Wind
Theodore Wind Farm,QLD,1152.000,Wind
Thunderbolt Wind Farm stage 1,NSW,230.000,Wind
Upper Calliope Solar Farm,QLD,1300.000,Solar
Vales Point Solar Farm,NSW,62.000,Solar
Valley of the Winds,NSW,936.000,Wind
Vast Solar Facility - VS1,SA,30.000,Solar
Waroona Solar Fam,WA,120.000,Solar
West Mokoan Solar Farm,VIC,300.000,Solar
Winton North Solar Farm,VIC,100.000,Solar
Woolsthorpe Wind Farm,VIC,70.000,Wind